date,return
2010-01-04,-0.00108049702863334
2010-01-05,0.018458197611292065
2010-01-06,0.0069332800000000815
2010-01-07,-0.0143770492876969
2010-01-08,0.010348474381891331
2010-01-11,-0.019302895442359164
2010-01-12,-0.01942286348501653
2010-01-13,0.0067453059727202915
2010-01-14,-0.003391859616062047
2010-01-15,-0.022285657142857115
2010-01-19,0.026501766784452253
2010-01-20,0.008715979588377701
2010-01-21,-0.017291123919308458
2010-01-22,-0.023145459940652913
2010-01-25,0.0005977286312013156
2010-01-26,-0.027010864345738315
2010-01-27,0.027777714334708884
2010-01-28,-0.041120438550629336
2010-01-29,-0.05408727719729558
2010-02-01,0.07249190938511334
2010-02-02,0.013930950938824764
2010-02-03,0.01748034960819781
2010-02-04,-0.04961147638971907
2010-02-05,0.021410516372796007
2010-02-08,0.0012369202226343258
2010-02-09,-0.023708326826241473
2010-02-10,0.01299511138613851
2010-02-11,0.02946494464611795
2010-02-12,0.02058823529411773
2010-02-16,0.00511945392491487
2010-02-17,-0.00279480172134161
2010-02-18,-0.011269335037405914
2010-02-19,-0.001204819277108622
2010-02-22,-0.0024023423423422297
2010-02-23,-0.027010864345738315
2010-02-24,0.012232354740061055
2010-02-25,0.014223871366728315
2010-02-26,-0.007352879901960782
2010-03-01,0.039481865483150344
2010-03-02,-0.00941176470588236
2010-03-03,-0.018299998919716547
2010-03-04,-0.0023952693176485544
2010-03-05,0.03808941728600872
2010-03-08,-0.01513387660069837
2010-03-09,0.026916266822703327
2010-03-10,0.005142857142857135
2010-03-11,-0.014899712613197074
2010-03-12,-0.0074798048032109505
2010-03-15,-0.004062681369704021
2010-03-16,0.035568513119533705
2010-03-17,0.013437793200571542
2010-03-18,-0.03695532470796064
2010-03-19,-0.026523647095014022
2010-03-22,0.029359951300061582
2010-03-23,0.0130237259343148
2010-03-24,-0.0253663472378804
2010-03-25,-0.011402564914334971
2010-03-26,-0.008576329331046231
2010-03-29,0.006303609953947907
2010-03-30,-0.007319876126126127
2010-03-31,-0.009111560883346442
2010-04-01,-0.014874199084668136
2010-04-05,0.008655510675129957
2010-04-06,-0.012166917728852946
2010-04-07,0.012986953188491631
2010-04-08,-0.009970675071593738
2010-04-09,0.008907363420427469
2010-04-12,0.017048736037624815
2010-04-13,0.016695393396926213
2010-04-14,-0.008869289973986068
2010-04-15,0.0039018392473892734
2010-04-16,-0.012731596485439867
2010-04-19,0.0029533372711164035
2010-04-20,-0.00350871345029247
2010-04-21,-0.030939814999405433
2010-04-22,0.02082057562767933
2010-04-23,-0.010830324258103218
2010-04-26,0.008505529070809884
2010-04-27,-0.021237924757281486
2010-04-28,0.0024813273894959235
2010-04-29,0.027143801797890225
2010-04-30,-0.04498486048724249
2010-05-03,-0.015832805573147563
2010-05-04,-0.0359477124183007
2010-05-05,0.003460207612456797
2010-05-06,-0.013888888888888963
2010-05-07,-0.025819958129797572
2010-05-10,-0.01621621621621623
2010-05-11,-0.0013869625520110662
2010-05-12,0.012413793103448256
2010-05-13,0.002051983584131405
2010-05-14,-0.05124450951683743
2010-05-17,0.0007704160246532963
2010-05-18,-0.041221374045801465
2010-05-19,0.02079999999999998
2010-05-20,0.005649717514124316
2010-05-21,0.052066115702479404
2010-05-24,-0.026004728132387713
2010-05-25,0.060150375939849524
2010-05-26,-0.03409090909090904
2010-05-27,0.03289977046671765
2010-05-28,-0.025222551928783372
2010-06-01,-0.029320987654321045
2010-06-02,0.009523809523809603
2010-06-03,0.019261637239165203
2010-06-04,-0.018653690186536936
2010-06-07,-0.0534979423868313
2010-06-08,-0.023580786026200836
2010-06-09,-0.029359430604982212
2010-06-10,0.019766397124887588
2010-06-11,0.0338379341050756
2010-06-14,-0.03565365025466893
2010-06-15,0.03742384682332461
2010-06-16,-0.005912162162162186
2010-06-17,0.0032840722495895668
2010-06-18,0.0008136696501221777
2010-06-21,-0.043789808917197505
2010-06-22,-0.04934210526315787
2010-06-23,0.0017137960582690294
2010-06-24,-0.043889845094664356
2010-06-25,-0.009830205540661255
2010-06-28,-0.00537634408602155
2010-06-29,-0.034990791896869156
2010-06-30,-0.027619047619047536
2010-07-01,0.013671875000000056
2010-07-02,-0.016314779270633392
2010-07-06,-0.006856023506366334
2010-07-07,0.04420432220039303
2010-07-08,-0.03644859813084101
2010-07-09,-0.0009652509652509448
2010-07-12,0.018357487922705265
2010-07-13,0.019607843137254815
2010-07-14,-0.03245614035087728
2010-07-15,-0.02898550724637668
2010-07-16,-0.06249999999999999
2010-07-19,0.026496565260059016
2010-07-20,0.052011776251226806
2010-07-21,-0.04158964879852135
2010-07-22,0.005725190839694534
2010-07-23,-0.016144349477682805
2010-07-26,0.02129719264278806
2010-07-27,-0.011342155009451722
2010-07-28,-0.015549076773566413
2010-07-29,-0.028723404255319104
2010-07-30,0.01434878587196457
2010-08-02,-0.018181818181818174
2010-08-03,-0.018660812294182212
2010-08-04,0.03325942350332602
2010-08-05,0.009625668449197846
2010-08-06,0.015957446808510675
2010-08-09,-0.0010362694300517913
2010-08-10,-0.025316455696202552
2010-08-11,-0.01878453038674032
2010-08-12,0.027522935779816536
2010-08-13,0.015135135135135197
2010-08-16,-0.011879049676025856
2010-08-17,0.0032467532467531776
2010-08-18,0.008658008658008665
2010-08-19,0.04883227176220816
2010-08-20,0.016309887869520912
2010-08-23,-0.01799999999999997
2010-08-24,0.023157894736842172
2010-08-25,0.03225806451612909
2010-08-26,-0.02487562189054726
2010-08-27,0.02636916835699795
2010-08-30,-0.03599999999999994
2010-08-31,-0.017894736842105255
