date,return
2010-01-04,0.0027175186498384547
2010-01-05,-0.0010251864028441708
2010-01-06,-0.015906325736282683
2010-01-07,-0.00552538370720183
2010-01-08,0.007988640265962193
2010-01-11,-0.012640949426329103
2010-01-12,-0.0070270760320062815
2010-01-13,0.013373728451105819
2010-01-14,-0.003236414212987276
2010-01-15,-0.023704523389383215
2010-01-19,0.03220848142650139
2010-01-20,-0.014796919227669743
2010-01-21,-0.018907950365181527
2010-01-22,-0.04366962829085123
2010-01-25,0.0027652955136507396
2010-01-26,-4.8555474393956936e-05
2010-01-27,0.00497950217499403
2010-01-28,-0.02752163611922826
2010-01-29,-0.04485773413283736
2010-02-01,0.012268030549483153
2010-02-02,-0.0002552243403116611
2010-02-03,0.02080237805407732
2010-02-04,-0.023788948958639554
2010-02-05,0.014691366640325587
2010-02-08,-0.008022939096848916
2010-02-09,-0.0011709194821489049
2010-02-10,-0.003930726488295403
2010-02-11,0.019447829333703717
2010-02-12,0.011458270946905104
2010-02-16,0.007229840475093165
2010-02-17,-0.008031725314502504
2010-02-18,0.006447468294585851
2010-02-19,-0.000941271173381266
2010-02-22,-0.009488998808826744
2010-02-23,-0.01470000014699999
2010-02-24,0.012258497828366027
2010-02-25,0.023406621151924576
2010-02-26,0.0110682775524671
2010-03-01,0.015747305287918397
2010-03-02,-0.005144562522217609
2010-03-03,0.0018665454018708992
2010-03-04,0.006832979838010947
2010-03-05,0.01865636404606778
2010-03-08,-0.004227116910802931
2010-03-09,0.021574829074598133
2010-03-10,0.004512339802749219
2010-03-11,0.007101112117378548
2010-03-12,-0.003386567999887057
2010-03-15,-0.00683294420904817
2010-03-16,0.0012043580836049923
2010-03-17,-0.0034681681672254533
2010-03-18,0.002454261468502849
2010-03-19,-0.011299457019897338
2010-03-22,0.019413094840173645
2010-03-23,0.012054519887432624
2010-03-24,0.007599718754176917
2010-03-25,-0.01849126986394656
2010-03-26,0.008517165580345768
2010-03-29,-0.0026180258409621974
2010-03-30,-0.003169923989220787
2010-03-31,-0.0020807591883865687
2010-04-01,-0.0060654816562064895
2010-04-05,0.014937385461268124
2010-04-06,0.005625541443628405
2010-04-07,0.004383264545674535
2010-04-08,-0.0020379179667449356
2010-04-09,0.0014910366653173375
2010-04-12,0.000371659802181163
2010-04-13,0.0023567352234603136
